,0,1,2,3
0,13.5,17.5,1.0,0.0
1,23.5,16.5,0.0,1.0
2,11.5,20.0,0.0,1.0
3,15.5,5.5,0.0,1.0
4,23.5,19.5,0.0,1.0
5,25.0,18.5,1.0,0.0
6,7.5,9.5,0.0,1.0
7,23.5,14.5,1.0,0.0
8,25.0,6.5,0.0,1.0
9,11.5,1.5,0.0,1.0
10,25.0,7.5,1.0,0.0
11,13.5,1.5,0.0,1.0
12,17.5,10.5,1.0,0.0
13,3.5,7.5,0.0,1.0
14,3.5,19.5,1.0,0.0
15,21.5,16.5,1.0,0.0
16,17.5,3.5,1.0,0.0
17,21.5,2.5,1.0,0.0
18,17.5,14.5,0.0,1.0
19,11.5,10.5,0.0,1.0
20,15.5,16.5,1.0,0.0
21,1.5,17.5,0.0,1.0
22,1.5,7.5,0.0,1.0
23,9.5,11.5,0.0,1.0
24,25.0,20.0,1.0,0.0
25,11.5,16.5,0.0,1.0
26,13.5,2.5,1.0,0.0
27,25.0,11.5,0.0,1.0
28,0.5,2.5,1.0,0.0
29,25.0,9.5,1.0,0.0
30,13.5,7.5,1.0,0.0
31,13.5,19.5,0.0,1.0
32,19.5,14.5,0.0,1.0
33,13.5,9.5,1.0,0.0
34,23.5,18.5,0.0,1.0
35,17.5,1.5,0.0,1.0
36,13.5,2.5,0.0,1.0
37,23.5,15.5,0.0,1.0
38,25.0,13.5,0.0,1.0
39,19.5,10.5,0.0,1.0
40,13.5,1.5,1.0,0.0
41,7.5,17.5,1.0,0.0
42,15.5,12.5,1.0,0.0
43,0.5,19.5,0.0,1.0
44,5.5,4.5,0.0,1.0
45,5.5,3.5,1.0,0.0
46,7.5,4.5,1.0,0.0
47,1.5,1.0,0.0,1.0
48,19.5,2.5,1.0,0.0
49,15.5,2.5,1.0,0.0
50,25.0,19.5,1.0,0.0
51,21.5,1.0,0.0,1.0
52,7.5,19.5,0.0,1.0
53,21.5,15.5,0.0,1.0
54,3.5,1.5,0.0,1.0
55,9.5,3.5,0.0,1.0
56,9.5,19.5,0.0,1.0
57,7.5,11.5,0.0,1.0
58,23.5,3.5,1.0,0.0
59,21.5,7.5,1.0,0.0
60,13.5,15.5,0.0,1.0
61,1.5,2.5,1.0,0.0
62,9.5,1.0,1.0,0.0
63,0.5,17.5,0.0,1.0
64,11.5,14.5,0.0,1.0
65,23.5,8.5,0.0,1.0
66,17.5,4.5,1.0,0.0
67,9.5,3.5,1.0,0.0
68,11.5,12.5,1.0,0.0
69,9.5,5.5,0.0,1.0
70,1.5,16.5,0.0,1.0
71,15.5,9.5,0.0,1.0
72,15.5,1.0,0.0,1.0
73,17.5,4.5,0.0,1.0
74,3.5,9.5,0.0,1.0
75,25.0,3.5,1.0,0.0
76,3.5,6.5,1.0,0.0
77,23.5,17.5,1.0,0.0
78,9.5,10.5,0.0,1.0
79,9.5,12.5,1.0,0.0
80,17.5,9.5,1.0,0.0
81,3.5,14.5,0.0,1.0
82,9.5,8.5,0.0,1.0
83,19.5,4.5,0.0,1.0
84,25.0,2.5,1.0,0.0
85,9.5,7.5,0.0,1.0
86,7.5,17.5,0.0,1.0
87,5.5,3.5,0.0,1.0
88,7.5,18.5,1.0,0.0
